Name,Rating,Address,URL,Price,Type,Phone,Cousines,Meal
Rao's Bananaleaf,4.5 ,"Lorong Surau 1565, Pantai Cenang, Langkawi 07000 Malaysia",,Indian,IndianAsianMalaysian,+60 11-1888 1383,,
Mr AsamPedas Cafe & Restaurant,5.0 ,"23a Persiaran Bunga Raya Langkawi Mall, Kuah, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 12-476 1797,,
Makan Mana Ikan Bakar,5.0 ,"125 Kampung Temoyong, Langkawi 07000 Malaysia",,Barbecue,BarbecueAsianGrillMalaysian,+60 16-538 4820,,
Chap Nya Yee Laksa Langkawi,4.5 ,"12-A Belakang Tokong, Langkawi 07000 Malaysia",http://www.facebook.com/chapnyayee,$,$AsianMalaysian,+60 12-554 9750,,
The Lobby Lounge,5.0 ,"Jalan Teluk Datai The Datai Langkawi, Langkawi 07000 Malaysia",http://www.thedatai.com/dining/the-lobby-lounge/,Bar,BarPubFusion,+60 4-950 0500,,
3pm Cafe,5.0 ,"no 52, Persiaran Bunga Rasa, Langkawi mall Langkawi, Kuah, Langkawi 07000 Malaysia",https://www.facebook.com/3pm-caf%C3%A9-3%E7%82%B93%E5%92%96%E5%95%A1%E9%A6%86-1720791691484039/,$$ - $$$,$$ - $$$DessertCafeInternational,+60 12-486 8219,,
Singgah Seafood,5.0 ,"Jalan Penarak Medan Selera Bendang Baru, Langkawi 07000 Malaysia",,$,$ChineseSeafood,+60 11-1002 6760,,
Karam Beriut,4.5 ,"No 4 Perdana Quay, Langkawi 07000 Malaysia",,Indian,IndianPizzaAsianTurkish,+60 11-6245 5700,,
Saloma Nasi Lemak Kukus Daun Pisang,4.0 ,"Kuah, Langkawi 07000 Malaysia",,$,$MalaysianHalal,,,
Oriental Pearl Restaurant,3.5 ,"Karong Berkunci 200 Berjaya Langkawi Resort, Burau Bay, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianVegetarian Friendly,+60 4-959 1888,,
Fish Farm Restaurant Langkawi,3.0 ,"Lot 1986 Jalan Penarak Mukim Kuah, Langkawi 07000 Malaysia",http://www.langkawi-fishfarm.com/,$$ - $$$,$$ - $$$ThaiHalal,6.01155E+11,,
Lazeez Restaurant,3.5 ,"135 Pusat Dagangan Kelana Mas Persiaran Mutiara, Kuah, Langkawi 07000 Malaysia",http://www.lazeezrestaurants.com/,$$ - $$$,$$ - $$$IndianPizzaMiddle Eastern,6049670786,,
Halim GP Gulai Panas,4.0 ,"no 4, Jalan Lapangan Terbang, Langkawi 07000 Malaysia",,$,$SeafoodAsianMalaysian,+60 4-955 9376,,
Laksa Power,3.5 ,"Jalan Quarter Jalan Pantai Cenang, Langkawi 07100 Malaysia",,$,$AsianMalaysian,,,
Honeybee Lgk,5.0 ,"Kampung Padang Lalang, Ayer Hangat, Langkawi 07000 Malaysia",,$,$Cafe,+60 13-374 3964,,
Membawang Corner,4.5 ,"79 Jalan Pantai Tengah, Mukim Kedawang, Langkawi 07000 Malaysia",,$,$CafeEuropeanAsian,+60 11-1240 0024,,
Refuel Cafe,4.0 ,"C-01 Oriental Village,cable Car, Jalan Teluk Burau,07000 Langkawi ,kedah Darul Aman Cable Car OR Oriental Village, Langkawi 07000 Malaysia",http://www.facebook.com/refuelcafelgk,$,$CafeEuropeanAsian,6049591657,,
Chocohauz Cafe and Bistro Langkawi,4.0 ,"Oriental Village, Jalan Teluk Burau, Kedah, 07000 Pulau Langkawi, Malaysia, Langkawi 07000 Malaysia",http://www.facebook.com/chocohauzlangkawi/info/,$$ - $$$,$$ - $$$CafeSeafoodThai,+60 16-632 9488,,
Viva Italia Restaurant,4.0 ,"Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianMexican,+60 4-955 8646,,
Mafioso SteakHouse,4.0 ,"Lot 3 & 3A, Ground Floor, Cenang View Hotel, Pantai Cenang, Langkawi 07100 Malaysia",,$$ - $$$,$$ - $$$ItalianAmericanSteakhouse,+60 11-2165 9136,,
Rockefeller Langkawi ,5.0 ,"Jalan Teluk Baru Pantai Tengah, Pantai Tengah, Langkawi 070000 Malaysia",,American,AmericanBrew PubBarBarbecue,+60 12-673 5037,,
Mayhian Seafood Restaurant,4.0 ,"Jalan Pantai Tengah,, Kampung Kedawang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-470 0649,,
Phoenix Chinese Restaurant,3.5 ,"Jalan Pandak Mayah 1 Tunggang, Kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseAsian,+60 4-966 1818,,
The Baker Girls,5.0 ,"129, Jalan Kuala Muda, Langkawi 07100 Malaysia",http://thebakergirls.biz/,$,$FrenchAsianMalaysian,+60 19-228 1389,,
Unicorn Ice Cream & Waffle,5.0 ,"Lot A1 Jalan Pantai Cenang Grand Beach Motel, Langkawi 07000 Malaysia",,$,$DessertInternationalAsian,+60 13-922 2827,,
Sajian Pulau,5.0 ,"Lot 182, Persiaran Mutiara 2 Jalan Trimula, Kuah, Langkawi 07000 Malaysia",https://www.facebook.com/jasss.mine.corner/,Asian,AsianThai,+60 11-2361 7933,,
Island Taste Bakery & Deli,4.0 ,"115 Jalan Padang Matsirat, Kuah, Langkawi 07000 Malaysia",http://www.facebook.com/Island-taste-bakery-deli-726500784098070/,Dessert,DessertCafeDeli,+60 4-966 8806,,
Restoran Aliah,5.0 ,"Jalan Teluk Baru, Langkawi Malaysia",,Asian,AsianMalaysian,+60 13-403 5937,,
Bottle & Glass Bar,4.5 ,"26A , Jalan Pelangi 2, Dayang Walk Kuah, Langkawi 07000 Malaysia",,$,$ItalianChineseSouthwestern,+60 16-794 8000,,
Sambal,5.0 ,"No. 6 Casa Fina, Jalan Pantai Cenang, Langkawi 07000 Malaysia",,,,+60 12-976 1700,,
Kaki Gunung Cafe,4.5 ,"172 Jalan Ulu Melaka, Langkawi 07000 Malaysia",https://www.facebook.com/Nasi-Arab-Kaki-Gunung-Cafe-767203496719047/?hc_ref=PAGES_TIMELINE,$$ - $$$,$$ - $$$AsianMalaysianArabic,+60 18-246 9645,,
"Istanbul restaurant Cafe, Turkish Delight",3.5 ,"Jalan Pantai Tengah Lot 589, Jalan Simpang 3, Pantai Tengah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$TurkishMiddle EasternHalal,+60 4-955 2100,,
The Pier Restaurant and Bar,4.0 ,"Pusat Dagangan Mas , Lot 107 Jalan Persiaran Putra, Kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$BarEuropeanAsian,+60 12-352 2236,,
Istanbul Restaurant,4.0 ,"Jalan Pantai Chenang, Langkawi 07000 Malaysia",,Seafood,SeafoodBarbecueTurkishArabic,+60 4-955 2100,,
The Edge Langkawi,4.5 ,"Lot 2566, Jalan Kuala Muda - Chenang Kampung Paya Mempelam, Mukim Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/theedgelangkawi/?ref=page_internal,Chinese,ChineseSeafoodInternationalAsian,+60 11-1017 7970,,
Café Bonobo,5.0 ,"79 Mukim Kedawang Jalan Pantai Tengah, Langkawi 07000 Malaysia",http://www.facebook.com/Cafe-Bonobo-Langkawi-102409934457874/,American,AmericanCafeHealthy,6013708901,,
Spice Garden,3.5 ,"Lot 1698 Jalan Pantai Tengah Mukim, Langkawi 07000 Malaysia",http://www.spicegardenasia.net/,$$ - $$$,$$ - $$$IndianAsianMiddle Eastern,+60 4-953 2338,,
Sarti Supperclub Langkawi,5.0 ,"Lot 60177 Jalan Pantai Cenang Tropicana Cenang Property Gallery, Pantai Cenang, Langkawi 07000 Malaysia",,Quick Bites,Quick BitesItalianAsianMalaysian,+60 12-681 0810,,
Warung santai,4.5 ,"Lot 2327 Jalan Pantai Cenang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$AsianMalaysian,+60 17-271 2483,,
Chak' Grill,5.0 ,"Jalan Pantai Chenang, Pantai Cenang, Langkawi 07000 Malaysia",,Cafe,CafeBarbecueAsianGrill,,,
Bay Leaf,4.5 ,"16 Lencongan Putra 3 Mukim Kuah, Langkawi 07000 Malaysia",http://www.instagram.com/bayleaf16.langkawi,$$ - $$$,$$ - $$$ItalianAsian,+60 12-236 9434,,
Nasi Kukus Lagenda,5.0 ,"Jalan Padang Putih Mukim Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/Nasi-Kukus-Lagenda-293274500776718,Asian,AsianMalaysian,+60 19-922 2860,,
Nagoya Paradise Steamboat,4.0 ,"No.27-28,Kampung Kelibang, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodBarbecue,+60 16-402 8816,,
Pizza on Fire,4.0 ,"4B Jalan Pantai Chenang Melati Tanjung Hotel, Langkawi 07000 Malaysia",,Italian,ItalianInternationalDiner,+60 13-849 4420,,
Budaba,4.5 ,"Jalan Pantai Tengah Green Village, Jalan Pantai Tengah, Teluk Baru, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 11-3326 8477,,
Satu Periuk,4.5 ,"32 Pusat Perniagaan Kelana Mas, Kuah, Langkawi 07000 Malaysia",,$,$BarbecueMalaysian,+60 4-961 1826,,
Tourism Jetty Complex ( Departure Hall ),3.0 ,"Persiaran Putra, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Quick Bites,+60 17-538 8099,,
Terragrill Satay Cafe,4.5 ,"11&12, Taman Seri Berlian, Gerai Majlis Gerai Majlis, Kuah, Langkawi Malaysia",http://www.facebook.com/terragrill.langkawi,Barbecue,BarbecueAsianMalaysian,+60 19-412 2008,,
Koffeemilia,5.0 ,"231 Jalan Pantai Tengah, Langkawi 07000 Malaysia",,$,$Cafe,,,
Cheff Shark Cafe Station,5.0 ,"Jalan Kuala Melaka, Langkawi 07000 Malaysia",,$,$ItalianAsianMalaysian,+60 11-1959 1980,,
Gourmand Deli,4.5 ,"Jalan Pantai Beringin, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$,+60 4-960 6687,,
Uskudars,4.5 ,"Telaga Harbur, Pantai Kok, Langkawi 07000 Malaysia",,$,$Turkish,+60 19-509 2294,,
Restaurant Rahim Sate Keda,5.0 ,"Dayang walk, Jalan pelangi 2, 07000 Kuah Kedah, Kuah, Langkawi Malaysia",,Asian,AsianIndonesianMalaysian,+60 17-445 1845,,
Tapaz At Tubotel,4.0 ,"Sungai Chenang Tubotel Langkawi, Langkawi 07000 Malaysia",http://www.tubotel.com/,Italian,ItalianSteakhousePizzaMediterranean,+60 12-476 2486,,
D Anjung Muara,4.5 ,"Jalan Kedawang Mukim Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/DAnjungCafe/,$$ - $$$,$$ - $$$AsianMalaysian,+60 4-952 3391,,
Seashells Chenang,3.0 ,"Laman Padi, Pantai Cenang, Mukim Kedawang, 07000 Langkawi - Kedah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$InternationalAsian,+60 17-577 0200,,
Restaurant Kashmir,5.0 ,"Jalan Teluk Burau Oriental Village, Langkawi 07100 Malaysia",,Chinese,ChineseIndianSouthwesternSeafood,+60 18-919 8780,,
Tubotel Restaurant,5.0 ,"Jetty Pelancongan Chenang, Langkawi Malaysia",,,,+60 12 4762486,,
Restaurant Shark Fing,3.5 ,"Langkawi Mall Dindong No. 267, Kuah, Langkawi 07000 Malaysia",,$,$AsianMalaysian,+60 4-966 4632,,
Restoran Nelayan Langkawi,3.5 ,"Jalan Bukit Malut, Langkawi 07000 Malaysia",,$,$SeafoodAsianMalaysian,,,
Tarbosh Lebanon Restaurant,4.0 ,"Lot 4 & 5, Ground Floor, Perdana Quay 2, Telaga Harbour Park, Langkawi 07100 Malaysia",,$$ - $$$,$$ - $$$LebaneseMediterranean,+60 4-959 3008,,
Langkawi Hainanese Cafe,3.5 ,"133 Langkawi Mall Jalan Kelibang, Kuah, Langkawi Malaysia",,$$ - $$$,$$ - $$$Chinese,,,
Nautilus Grill,3.5 ,"Persiaran Mutiara Bella Vista Hotel, Langkawi 07000 Malaysia",http://www.bellavistalangkawi.com/dining.html,$$ - $$$,$$ - $$$International,+60 4-966 2800,,
Samara Coffee,5.0 ,"Lot 15484, Pantai Cenang,Above 7/11, Langkawi 07000 Malaysia",,Italian,Italian,+60 16-491 0455,,
Sizzling and Claypot,4.0 ,"Langkawi Parade Shopping Centre, Langkawi Malaysia",,Asian,AsianMalaysian,+60 17-521 9153,,
Bali Spice Cafe,4.5 ,"No. 10m Jalan Persiaran Putra, Langkawi 07000 Malaysia",https://www.facebook.com/BaliSpiceCafe,Italian,ItalianAsianThaiMalaysian,,,
The Blarney Stone Langkawi,4.5 ,"17 Jalan Pelangi 2, Kuah Langkawi, Kuah, Langkawi 07000 Malaysia",http://irishlangkawi.com/,Irish,Irish,+60 19-641 5859,,
Langkawi Chill Out Cafe,5.0 ,"32-36 Jalan Teluk Baru, Pantai Tengah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ChineseAmericanCafe,+60 11-3997 2906,,
Yam Yam Seafood Langkawi,4.0 ,"Lot 1697, Kg.Tasek Anak, Jalan Teluk Baru, Pantai Tengah, Langkawi 07000 Malaysia",http://yamyam.langkawi.rocks/,$$ - $$$,$$ - $$$ChineseSeafood,+60 12-904 9200,,
Station 49,5.0 ,"7 Jalan Padang Matsirat, Kuah, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 10-778 9449,,
Baron Bistro,4.5 ,"Bandar Baru Baron De Baron Resort, Langkawi 07000 Malaysia",http://barongrouphotels.com/,$$ - $$$,$$ - $$$AmericanSouthwesternEuropean,6049662222,,
Royal Tarboush Restaurant,4.5 ,"KG kuala MUDA, Kuah, Langkawi 07000 Malaysia",http://royaltarboush.business.site/,$$$$,$$$$IndianPizzaGrill,+60 11-3776 2776,,
Hyderabadi Biryani & Seafood Restaurant,4.0 ,"2 Jalan Pantai Cenang Beside T-shoppe, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$IndianSeafoodBangladeshi,+60 11-1630 0520,,
Rhu Bar,4.5 ,"Jalan Tanjung Rhu Four Seasons Resort, Langkawi 07000 Malaysia",,$$$$,$$$$,60 (4) 950 8888,,
Restoran Nelayan Teluk Baru,4.5 ,"Jalan Teluk Baru, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 10-383 1331,,
Kolma Langkawi,4.5 ,"Jalan Pantai Tengah Lamping Lubok Buaya, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,,,
The Sunset Bistro,5.0 ,"Jalan Pantai Chenang, Langkawi 07000 Malaysia",http://www.facebook.com/thesunsetbistro69/,$,$AmericanPizzaSeafood,+60 17-212 3295,,
The Pirathouse,4.0 ,"LOT-1697-KPG , Jalan Teluk Baru, Pantai Tengah, Langkawi 07100 Malaysia",https://www.facebook.com/people/The-Pirathouse/100085050368479/?paipv=0&eav=Afb9NMT0vhFbpvx0_aDf9M0DYJ0D4ogoAV6Vi6ua4Ts-nN7AC-yEzpZl_7RhAGY4M2U&_rdr,American,AmericanBarPizzaEuropean,+60 11-1969 6178,,
LOT 33 Cafe,4.0 ,"Kampung Tasik Anak, Pantai Tengah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 4-952 3562,,
Spice Trader,4.0 ,"Teluk Nibong, Langkawi Malaysia",,Indian,IndianAsianThaiMalaysian,,,
Rice Garden At Mercure,4.0 ,"Lot 2500, Jalan Pantai Cenang, Mukim Kedawang Mercure Langkawi Pantai Cenang, Pantai Cenang, Langkawi 07000 Malaysia",http://all.accor.com/hotel/a3m7/index.en.shtml,$$ - $$$,$$ - $$$AmericanInternationalAsian,+60 4-964 2837,,
Jom Ikan Bakar Masakan Ala-Kampung,3.5 ,"Jalan Lapangan Terbang, Langkawi 07000 Malaysia",,$,$SeafoodAsianMalaysian,,,
Hafiz Rojak,4.0 ,"Jalan Pantai Kok, Langkawi 07000 Malaysia",,Asian,AsianMalaysian,+60 12-489 2334,,
D'Lima Cafe,3.5 ,"Jalan Pantai Chenang Kampung Lubok Buaya, Langkawi 07000 Malaysia",https://www.facebook.com/dlimacafepantaicenang/,Thai,ThaiMalaysianVegetarian Friendly,+60 19-505 0718,,
Tealive,5.0 ,"The Smith House, No 8 Bangunan, Kampung Padang Mat Sirat, Langkawi 07000 Malaysia",,Dessert,Dessert,+60 12-502 3448,,
Secret Recipe,4.0 ,"16, Jalan Pantai Chenang, Pantai Cenang, Langkawi 07000 Malaysia",,Cafe,Cafe,6049555107,,
798 Cafe Langkawi,4.5 ,"12A, Dayang Walk, Jalan Tiram 5, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$PizzaCafeAsian,+60 12-299 0905,,
The Kelapa Cafe by TRV Langkawi,3.5 ,"61, Jalan Tanjung Rhu, Kampung Padang Lalang, Langkawi 07000 Malaysia",https://www.facebook.com/kelapacafelangkawi/?ref=page_internal,$$ - $$$,$$ - $$$Quick BitesInternational,+60 17-484 2604,,
Cafe1965,5.0 ,"Cafe 1965, 114, Jl. Teluk Baru, 07000 Langkawi, Kedah, Malaysia, Langkawi Malaysia",,$,$BarPub,+60 12-707 7798,,
Western Kampung,3.5 ,"Jalan Tanjung Rhu, Ayer Hangat, Langkawi 07000 Malaysia",https://www.facebook.com/pages/category/Restaurant/Western-Kampung-Ayer-Hangat-Langkawi-1479566285442484/,Indian,IndianAsianMalaysian,+60 11-1001 5856,,
Legend Soto,4.5 ,"Tapak Pasar Malam, Beras Terbakar Mukim Padang Matsirat, Langkawi 07000 Malaysia",,$,$Fast foodAsianIndonesian,+60 17-550 7884,,
Sajian Akis,4.5 ,"Bon Ton Resort From Airport to Chenang Beach, Langkawi 07000 Malaysia",,Seafood,SeafoodAsianThaiMalaysian,+60 19-873 7999,,
NoName Cafe & Resto,4.0 ,"78, Jalan Pelangi 1, Dayang Walk Commercial Square, Langkawi 07000 Malaysia",http://noname-cafe-hotel.business.site/,$,$ChinesePizzaAsian,+60 4-966 2806,,
Cruisers Kebab,5.0 ,"Kampung Lubok Buaya, Langkawi 07000 Malaysia",,Indian,IndianInternationalMiddle Eastern,+60 4-953 2107,,
Gelateria del Corso Centro,4.0 ,"Near Sugar Shop Entrance, Pantai Tengah, Langkawi 07000 Malaysia",http://www.facebook.com/corsocentro/,$,$DessertItalian,+60 13-433 7750,,
Hugo's Sunset Bar,4.5 ,"127 Jalan Dato Syed Omar Fisherman's Wharf Complex, Kuah, Langkawi 07000 Malaysia",,,,,,
DXN cafe & business,,"Jalan Pantai Tengah Sunblock, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Healthy,+60 12-542 0122,,
Pai Kin Cfood,5.0 ,"716, Jalan Pantai Cenang, 07000 in front Casa de mar, Pantai Cenang, Langkawi 07000 Malaysia",,Thai,Thai,+60 10-291 8554,,
Subway,3.5 ,"Jalan Teluk Burau Oriental Village G4, Langkawi 07000 Malaysia",,$,$,6049591304,,
Papa Iranian Restaurant,3.0 ,"JL. Teluk Baru No3, JLN Pantai Tengah, Langkawi 07000 Malaysia",http://papalangkawi.wixsite.com/papa,$$ - $$$,$$ - $$$Middle EasternRussianPersian,+60 17-505 7300,,
Roti Canai Otai  Langkawi,5.0 ,"Jalan Kedawang, Kampung Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/RANGGUP,Asian,AsianMalaysian,+60 17-448 6392,,
Food Paradise Restaurant & Bistro,5.0 ,"Gf 411, Jalan Padang Matsirat, Main Road, Langkawi 07000 Malaysia",https://food-paradise-restaurant-bistro.business.site/?utm_source=gmb&utm_medium=referral,,,+60 17-446 9786,,
Safa Marwah Restaurant,4.0 ,"Langkawi Parade 21, Lorong Tiram, Kuah, Langkawi Malaysia",,Indian,Indian,+60 11-6234 9210,,
Tiptop Langkawi Cafe,5.0 ,"Pandak Mayah 2 Tiptop Langkawi Cafe, Langkawi 07000 Malaysia",,Grill,GrillContemporaryHealthy,+60 19-993 6412,,
